date,press,headline
1660,March 25 2016, ELIZABETH OLSON," ""Law Graduate Loses Suit Against School on Enticing Enrollment Data"""
1661,March 25 2016, RAVI SOMAIYA," ""Business Briefing; Playboy Enterprises Is Said to Be Considering a Sale"""
1662,March 25 2016, JAMES B. STEWART," ""As Justice, Best Hope for Business Is Garland"""
1663,March 25 2016, EMILY STEEL," ""Apple’s First Foray Into Original TV Is a Series About Apps"""
1664,March 25 2016, MARY WILLIAMS WALSH," ""House Republicans Advance Plan to Rescue Puerto Rico"""
1665,March 25 2016, THE ASSOCIATED PRESS," ""Orders for Durable Goods Dropped 2.8% in February"""
1666,March 25 2016, JENNIFER SABA," ""A Yahoo Investor’s Bold Push to Replace Its Board"""
1667,March 27 2016, KARAN BAJAJ," ""The Year of Learning to Let Go"""
1668,March 27 2016, CLAIRE MARTIN," ""Taking Local Produce to Another Level"""
1669,March 27 2016, DAVID SEGAL," ""The Cage Match"""
1670,March 26 2016, REUTERS," ""Japanese Inflation Is Flat in Year to February"""
1671,March 26 2016, THE ASSOCIATED PRESS," ""Most Global Exchanges Close for Good Friday"""
1672,March 26 2016, REUTERS," ""Ten States Still Have Fewer Jobs Since Recession"""
1673,March 26 2016, DIANE CARDWELL," ""U.S. Approves Wind Power Transmission Project"""
1674,March 26 2016, REUTERS," ""4th Quarter Looks Stronger After Figures Are Updated"""
1675,March 26 2016, EMILY STEEL," ""Transforming a Media Company: A Conversation With Peter Liguori"""
1676,March 26 2016, HIROKO TABUCHI," ""How Far Can a Trend Stretch?"""
1677,March 27 2016, ADAM BRYANT," ""Putting Passion Ahead of Pedigree"""
1678,March 26 2016, BROOKS BARNES," ""Locomotives Arrive on the Island of Sodor With Fresh New Faces"""
1679,March 27 2016, GRETCHEN MORGENSON," ""Sacrificing the Future for a Mirage"""
1680,March 28 2016, JIM RUTENBERG," ""Victory Lap and Wink, as 2 Presidents Meet"""
1681,March 28 2016, BRETT COLE," ""Ben Gray to Leave TPG Capital in Asia"""
1682,March 28 2016, ELI ROSENBERG," ""Al Jazeera Announces Layoffs, Mostly in Qatar"""
1683,March 28 2016, EMILY STEEL and CECILIA KANG," ""A Cable Deal Hinges  on the Cord Cutters"""
1684,March 28 2016, NATHANIEL POPPER," ""New Kid on the Blockchain"""
1685,March 28 2016, THE NEW YORK TIMES," ""Gains in the U.S. and Concerns in China"""
1686,March 28 2016, ALINA TUGEND," ""Hotel Chains and Travel Websites in a Tug of War for Customers"""
1687,March 28 2016,," ""Treasury Auctions Set for This Week"""
1688,March 28 2016, ISABEL KERSHNER and STANLEY REED," ""Israeli Court Strikes Down Gas Field Development Deal"""
1689,March 28 2016, SONIA KOLESNIKOV-JESSOP," ""Building a Business Model to Help Solve Social Issues"""
1690,March 27 2016, KARAN BAJAJ," ""The Year of Learning to Let Go"""
1691,March 27 2016, CLAIRE MARTIN," ""Taking Local Produce to Another Level"""
1692,March 27 2016, DAVID SEGAL," ""The Cage Match"""
1693,March 27 2016, ADAM BRYANT," ""Putting Passion Ahead of Pedigree"""
1694,March 27 2016, GRETCHEN MORGENSON," ""Sacrificing the Future for a Mirage"""
1695,March 28 2016, ALEXANDRA ALTER," ""Bookmobiles Signal Stores Are on Road to Recovery"""
1696,March 29 2016, THE ASSOCIATED PRESS," ""Nielsen's Top Programs for March 21-27"""
1697,March 29 2016, THE ASSOCIATED PRESS," ""Grain Lower, Livestock Lower"""
1698,March 29 2016, NOAM SCHEIBER and IAN LOVETT," ""Wage Plan Stirs Debate in California"""
1699,March 29 2016, ANDREW ROSS SORKIN," ""Another Firm Pays a Price for Its Supporting Role at Valeant"""
1700,March 29 2016, MARY WILLIAMS WALSH," ""U.S. Judge Voids Puerto Rico’s New Tax on Walmart"""
1701,March 29 2016, BEN SISARIO," ""Pandora Aims for a Reinvention"""
1702,March 29 2016, THE ASSOCIATED PRESS," ""Avon Shakes Up Its Board to Appease Its Shareholders"""
1703,March 29 2016, THE ASSOCIATED PRESS," ""Valeant’s Chief Asked to Testify"""
1704,March 29 2016, MICHAEL M. GRYNBAUM," ""Business Briefing; Ex-NBC Anchor David Gregory to Join CNN in New Role"""
1705,March 29 2016, MICHAEL J. de la MERCED," ""Affymetrix to Stick With Thermo Fisher’s Takeover Proposal"""
1706,March 29 2016, PETER EAVIS," ""Valeant’s Small Accounting Error Is a Warning Sign to Investors of Bigger Problems"""
1707,March 29 2016, THE ASSOCIATED PRESS," ""Valeant share plunge after CEO subpoenaed by Congress"""
1708,March 29 2016, ANDREW POLLACK," ""An Assessment of Theranos Blood Tests Finds Irregular Results"""
1709,March 29 2016, KEITH BRADSHER," ""A Risky Expansion in China"""
1710,March 29 2016, JENNIFER SABA," ""Pandora’s Worrisome Sign: Return of the Founder as C.E.O."""
1711,March 29 2016, REUTERS," ""Consumer Spending Rose Only Slightly in February  """
1712,March 29 2016, JANE L. LEVERE," ""Using Apps to Ease the Headache of Navigating Airports"""
1713,March 29 2016, ALEXANDRA STEVENSON and MATTHEW GOLDSTEIN," ""U.S. Accuses Wall St. Scion in Fraud Case"""
1714,March 29 2016, PETER J. HENNING," ""As Valeant Struggles, Its Tally Sheet of Scandals Grows"""
1715,March 29 2016, RAVI SOMAIYA," ""Jill Abramson, Former New York Times Editor, to Write Guardian Column"""
1716,March 30 2016, REUTERS," ""Most U.S. Car Headlights Inadequate, Insurance Group's Ratings Find"""
1717,March 30 2016, BROOKS BARNES," ""Haggis to Direct ‘Ranger’s Apprentice’ Film"""
1718,March 30 2016, LESLIE PICKER and BEN SISARIO," ""Expected $1 Billion Financing Deal May Pressure Spotify to Go Public"""
1719,March 30 2016, REUTERS," ""SunEdison at ‘Substantial Risk’ of Bankruptcy, a Unit Warns"""
1720,March 30 2016, MARY WILLIAMS WALSH," ""Politicians’ Latest Plan to Rescue Puerto Rico Is Met With Disdain"""
1721,March 30 2016, BINYAMIN APPELBAUM," ""Long-Simmering Anger About Trade Is Boiling Over for Voters"""
1722,March 30 2016, STEVEN DAVIDOFF SOLOMON," ""Explaining Valeant: The Main Theories"""
1723,March 30 2016, JOHN KOBLIN," ""Lester C. Thurow, 77, Economist Who Seized Spotlight"""
1724,March 30 2016, MICHAEL CIEPLY," ""In Comic-Con v. Comic Con, Proceedings Are Opaque"""
1725,March 30 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""Charity Says It Fell Victim to Scheme"""
1726,March 29 2016, THE ASSOCIATED PRESS," ""Nielsen's Top Programs for March 21-27"""
1727,March 30 2016, THE ASSOCIATED PRESS," ""Home Prices Continued a Steady Climb in January"""
1728,March 30 2016, JEFFREY GOLDFARB," ""Starwood’s Takeover Offer From Anbang Is Risky, but Worth It"""
1729,March 30 2016, SYDNEY EMBER," ""The F.T.C. Sues Volkswagen Over ‘Deceptive’ Diesel Ads"""
1730,March 30 2016, DIANE CARDWELL," ""Edison International, Looking Beyond Energy Sales, Takes a Step Into Consulting"""
1731,March 30 2016, CHAD BRAY," ""Business Briefing; Bank of England to Raise Capital Buffer Requirement"""
1732,March 30 2016, BINYAMIN APPELBAUM," ""Saying Fed Sees Better Days Ahead, Yellen Sets Patient Course on Rates"""
1733,March 30 2016, IAN AUSTEN," ""Project for Cleaner Coal Energy Falters"""
1734,March 30 2016, MICHAEL FORSYTHE," ""Hotel Bidder a Reclusive Dealmaker From China"""
1735,March 29 2016, THE ASSOCIATED PRESS," ""Grain Lower, Livestock Lower"""
1736,March 31 2016, REUTERS," ""German Inflation Is Positive After E.C.B. Policy Move"""
1737,March 31 2016, STEVEN DAVIDOFF SOLOMON," ""If Starwood Makes a Deal With Anbang, Can It Be Done?"""
1738,March 31 2016, THE ASSOCIATED PRESS," ""O.E.C.D. Lowers Its Forecast for Global Growth This Year"""
1739,March 31 2016, THE ASSOCIATED PRESS," ""Cancer Charities Will Pay Fine for Fraud, and Then Dissolve"""
1740,March 31 2016, BILL VLASIC," ""Jury Clears G.M. Switch of Fault in ’14 Car Crash"""
1741,March 31 2016, NATHANIEL POPPER," ""A Boom in Financial Technologies Is Viewed as a Threat to Banking Jobs"""
1742,March 31 2016, STEPHEN J. LUBBEN," ""MetLife Decision Could Torpedo Dodd-Frank Risk Protections"""
1743,March 31 2016, DANIEL VICTOR," ""Associated Press Denies Cooperating With Nazis"""
1744,March 31 2016, MATTHEW GOLDSTEIN," ""Cravath Discloses Breach, Saying It Was ‘Limited’"""
1745,March 31 2016, JOHN HERRMAN and MIKE ISAAC," ""Airing Live, on Facebook"""
1746,March 31 2016, VICTORIA FINKLE," ""MetLife Is Not ‘Too Big to Fail,’ Judge Rules, in Win for Insurer"""
1747,March 31 2016, ROB COX," ""Foxconn’s Deal to Buy Sharp Is a Test for Japanese Reform"""
1748,March 31 2016, THE ASSOCIATED PRESS," ""Business Briefing; Report by ADP Shows Increase in Private Sector Hiring"""
1749,March 31 2016, BROOKS BARNES," ""TV Innovator Puts Social Spin on Streaming"""
1750,March 31 2016, THE ASSOCIATED PRESS," ""Shares Rise in a Wide-Ranging Rally"""
1751,March 31 2016, CHAD BRAY," ""State Street to Buy G.E.’s Asset Management Business"""
1752,March 31 2016, CONSTANCE GUSTKE," ""Pop-Up Stores Thrive in a World of Failing Retailers"""
1753,March 31 2016, CHAD BRAY," ""Swedbank to Replace Chairman After He Lost Investor Support"""
1754,March 31 2016, CHAD BRAY," ""Metro Group of Germany to Split Into 2 Companies"""
1755,March 31 2016, PAUL MOZUR," ""Eye on Apple, Foxconn Bets Billions on Sharp"""
1756,April 02 2016, WILLIAM D. COHAN," ""More Details on Banker’s Tragic Death, but Questions Persist"""
1757,April 02 2016, BILL VLASIC," ""In Clamor for New Tesla, Signs of an Electric Future"""
1758,April 02 2016, STEPHANIE STROM," ""Raiding Dad’s Beer Fridge for a Revival"""
1759,April 02 2016, DANIEL VICTOR," ""Business Briefing; Blogger Andrew Sullivan Joins New York Magazine"""
1760,April 02 2016, MARK SCOTT," ""Another Telecom Deal in Europe Fails as 2 French Companies End Talks"""
1761,April 02 2016, JONATHAN A. KNEE," ""Review: ‘Saving the Media’ Seeks Remedy for Ailing Fourth Estate"""
1762,April 02 2016, MATTHEW GOLDSTEIN," ""Law Firm to Pursue ‘Revenge Porn’ Case"""
1763,April 02 2016, LESLIE PICKER," ""Business Briefing; Tech Start-Ups Stay Private in I.P.O. Standoff"""
1764,April 02 2016, BARRY MEIER," ""Quartz Countertops Pose a Lethal Risk  to the Workers Who Fabricate Them"""
1765,April 02 2016, GINA CHON," ""Alternative Lenders Turn to Seasoned Insiders for Help"""
1766,April 02 2016, THE ASSOCIATED PRESS," ""Manufacturing Expands After 5 Months of Decline"""
1767,April 02 2016, KEITH BRADSHER," ""Enigmatic Rule Adds to the Mystery Shrouding Anbang’s Starwood Reversal"""
1768,April 02 2016, MICHAEL SIMKOVIC," ""Overall Stagnation in Legal Jobs Hides Underlying Shifts"""
1769,April 02 2016, THE ASSOCIATED PRESS," ""Shares Climb, Spurred   by Solid Jobs Report"""
1770,April 01 2016, NELSON D. SCHWARTZ and NEIL IRWIN," ""Jobs and Wages Notching Gains Long in Coming"""
1771,April 02 2016, IAN AUSTEN," ""With a Focus on Android, BlackBerry Falls Short"""
1772,April 02 2016, CHAD BRAY," ""Business Briefing; Home Retail’s Board Endorses J Sainsbury Bid"""
1773,April 02 2016, AUSTIN RAMZY," ""Tesla Orders Surge Even Before Unveiling of New Electric Car, Model 3"""
1774,April 01 2016, ELIZABETH PATON," ""K.K.R. Selling Stake in the Fashion Group SMCP to Shandong Ruyi of China"""
1775,April 01 2016, ANDREW POLLACK," ""Report Shows Theranos Delivered Inaccurate Results"""
1776,April 03 2016, MICHAEL J. de la MERCED," ""Cravath Partner Makes a Move to Paul, Weiss"""
1777,April 03 2016, MICHAEL J. de la MERCED and LESLIE PICKER," ""Alaska Airlines Is Eager for Deal Over Virgin America"""
1778,April 03 2016, ROBERT FRANK," ""The Bottom of the Barrel for Wine Investors"""
1779,April 03 2016, LIZ ALDERMAN," ""After Leak, Greece Asks I.M.F. to Clarify Bailout Plan"""
1780,April 03 2016, SAM ROBERTS," ""Bill Green, 91, Who Dissected Scandal at Washington Post"""
1781,April 03 2016, DANIEL E. SLOTNIK," ""Eric Engberg, 74, CBS Newsman Who Highlighted Facts in Politics"""
1782,April 02 2016, WILLIAM D. COHAN," ""More Details on Banker’s Tragic Death, but Questions Persist"""
1783,April 02 2016, BILL VLASIC," ""In Clamor for New Tesla, Signs of an Electric Future"""
1784,April 02 2016, STEPHANIE STROM," ""Raiding Dad’s Beer Fridge for a Revival"""
1785,April 02 2016, DANIEL VICTOR," ""Business Briefing; Blogger Andrew Sullivan Joins New York Magazine"""
1786,April 02 2016, MARK SCOTT," ""Another Telecom Deal in Europe Fails as 2 French Companies End Talks"""
1787,April 02 2016, JONATHAN A. KNEE," ""Review: ‘Saving the Media’ Seeks Remedy for Ailing Fourth Estate"""
1788,April 02 2016, MATTHEW GOLDSTEIN," ""Law Firm to Pursue ‘Revenge Porn’ Case"""
1789,April 02 2016, LESLIE PICKER," ""Business Briefing; Tech Start-Ups Stay Private in I.P.O. Standoff"""
1790,April 02 2016, BARRY MEIER," ""Quartz Countertops Pose a Lethal Risk  to the Workers Who Fabricate Them"""
1791,April 02 2016, GINA CHON," ""Alternative Lenders Turn to Seasoned Insiders for Help"""
1792,April 02 2016, THE ASSOCIATED PRESS," ""Manufacturing Expands After 5 Months of Decline"""
1793,April 02 2016, KEITH BRADSHER," ""Enigmatic Rule Adds to the Mystery Shrouding Anbang’s Starwood Reversal"""
1794,April 02 2016, MICHAEL SIMKOVIC," ""Overall Stagnation in Legal Jobs Hides Underlying Shifts"""
1795,April 03 2016, ADAM BRYANT," ""Talk Less, but Ask ‘Why’ More"""
1796,April 04 2016, HIROKO TABUCHI and NICK WINGFIELD," ""Elite Wedding Retailer  Is Closing Its Only Store"""
1797,April 04 2016, JIM RUTENBERG," ""Drawing the Line on Gossip After the Gawker Trial"""
1798,April 04 2016, ROBERT D. HOF," ""Brands Take Steps Toward Messaging Apps"""
1799,April 04 2016, THE NEW YORK TIMES," ""A New Libor Trial  and Fed Leaders Onstage"""
1800,April 04 2016, ALEXANDRA STEVENSON and MATTHEW GOLDSTEIN," ""Victim in Wall St. Scheme Is Classmate of the Accused"""
1801,April 03 2016, MICHAEL J. de la MERCED," ""Cravath Partner Makes a Move to Paul, Weiss"""
1802,April 04 2016, GREGORY SCHMIDT," ""Cartoon Network’s Powerpuff Girls Fight for Relevancy Beyond TV"""
1803,April 04 2016,," ""Treasury Auctions Set for This Week"""
1804,April 04 2016, NICOLA CLARK," ""Looking for Readers Who Still Love Print"""
1805,April 03 2016, MICHAEL J. de la MERCED and LESLIE PICKER," ""Alaska Airlines Is Eager for Deal Over Virgin America"""
1806,April 03 2016, ROBERT FRANK," ""The Bottom of the Barrel for Wine Investors"""
1807,April 03 2016, LIZ ALDERMAN," ""After Leak, Greece Asks I.M.F. to Clarify Bailout Plan"""
1808,April 03 2016, SAM ROBERTS," ""Bill Green, 91, Who Dissected Scandal at Washington Post"""
1809,April 03 2016, DANIEL E. SLOTNIK," ""Eric Engberg, 74, CBS Newsman Who Highlighted Facts in Politics"""
1810,April 03 2016, ADAM BRYANT," ""Talk Less, but Ask ‘Why’ More"""
1811,April 03 2016, NATHANIEL POPPER," ""Goldman’s Open Book"""
1812,April 03 2016, GRETCHEN MORGENSON," ""Little Goof by Valeant May Grow"""
1813,April 03 2016, DAVID GELLES," ""Silicon Valley Lines Up for the $700 Juicer"""
1814,April 03 2016, LAURA M. HOLSON," ""Sexy Sells, but It Doesn’t Always Pay"""
1815,April 05 2016, MARK SCOTT," ""AccorHotels of France Buys Onefinestay for $169 Million"""
1816,April 05 2016, EMILY STEEL," ""Starz Sets Its Sights Beyond the Bundle"""
1817,April 05 2016, LESLIE PICKER," ""U.S. Sues ValueAct, Saying Hedge Fund Violated Antitrust Law"""
1818,April 05 2016, LESLIE PICKER and MICHAEL J. de la MERCED," ""U.S. Moves to Thwart Mergers Done as Tax Dodge"""
1819,April 05 2016, MARY WILLIAMS WALSH," ""With Suit, Hedge Funds  Seek to Freeze the Assets of a Top Puerto Rico Bank"""
1820,April 05 2016, THE ASSOCIATED PRESS," ""Judge Approves Settlement of $20 Billion in BP Oil Spill"""
1821,April 05 2016, REED ABELSON," ""Health Law Has Enticed Few Companies to Drop Insurance"""
1822,April 05 2016, JULIE WEED," ""Wanted: Cruise Lecturers Who Mingle and Take Good Selfies"""
1823,April 05 2016, BEN PROTESS," ""Marshall Miller, Former Federal Prosecutor, Joins Wachtell Lipton"""
1824,April 05 2016, BROOKS BARNES," ""Disney Heir Apparent Unexpectedly Resigns"""
1825,April 04 2016, HIROKO TABUCHI and NICK WINGFIELD," ""Elite Wedding Retailer  Is Closing Its Only Store"""
1826,April 05 2016, EMILY STEEL," ""Business Briefing; Nielsen Will Add Viewing on Set-Top Boxes to Ratings"""
1827,April 05 2016, REUTERS," ""Business Briefing; Factory Goods Orders Fell 1.7% in February, Reversing a Gain"""
1828,April 05 2016, ANTONY CURRIE," ""Alaska Air’s Premium Deal for Virgin America"""
1829,April 05 2016, PETER J. HENNING," ""A Supreme Court Decision on Freezing Assets Bolsters the Right to Hire a Lawyer"""
1830,April 05 2016, MICHAEL J. de la MERCED and CHAD BRAY," ""Alaska Air Sees Virgin as Key to West Coast"""
1831,April 05 2016, THE ASSOCIATED PRESS," ""Wall St. Edges Down in Light Trading"""
1832,April 05 2016, LESLIE PICKER and CHAD BRAY," ""BATS Global Markets to Price Initial Public Offering Shares at $17 to $19"""
1833,April 04 2016, JIM RUTENBERG," ""Drawing the Line on Gossip After the Gawker Trial"""
1834,April 04 2016, ROBERT D. HOF," ""Brands Take Steps Toward Messaging Apps"""
1835,April 06 2016, NATHANIEL POPPER," ""Bitcoin Start-Up Gets Money License From Britain and a Link to Barclays"""
1836,April 06 2016, THE ASSOCIATED PRESS," ""U.S. Exports More Cars, but Trade Deficit Grows"""
1837,April 06 2016, THE ASSOCIATED PRESS," ""Service Companies Ticking Up as New Orders Expand"""
1838,April 06 2016, THE ASSOCIATED PRESS," ""Labor Market Makes Gains Despite Economic Slowing"""
1839,April 06 2016, THE ASSOCIATED PRESS," ""F.D.A. Clears Cheaper Version of Johnson & Johnson Biologic"""
1840,April 06 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""A Family’s Charmed Life Is Thrown Into Turmoil"""
1841,April 06 2016, BROOKS BARNES," ""Iger Proves a Tough Act to Follow  at Disney"""
1842,April 06 2016, NICOLA CLARK," ""How a Cryptic Message Led to a Trove of Data"""
1843,April 06 2016, BILL VLASIC," ""Ford Draws Fire From Trump Over Plan for Factory in Mexico to Build Small Cars"""
1844,April 06 2016, MICHAEL J. de la MERCED and LESLIE PICKER," ""Pfizer and Allergan Said to End Merger as Tax Rules Tighten"""
1845,April 06 2016, KEVIN ALLISON," ""Calpers Rethinking Policy Banning Investment in Tobacco Stocks"""
1846,April 06 2016, DANIEL VICTOR," ""‘Jackie’ in Rolling Stone Rape Article Must Testify in Defamation Suit"""
1847,April 06 2016, STEVEN DAVIDOFF SOLOMON," ""Normally Placid, BlackRock Throws  a Surprise Punch"""
1848,April 06 2016, CHAD BRAY," ""London Trial Opens for Ex-Barclays Employees in Libor Rate Manipulation Case"""
1849,April 06 2016, EDUARDO PORTER," ""Trump’s Rise Indicates Waning Role for Religion"""
1850,April 06 2016, MARY WILLIAMS WALSH," ""Puerto Rico Senate Votes to Halt Payments on $72 Billion Debt"""
1851,April 06 2016, DIDI KIRSTEN TATLOW," ""New Tone in Chinese Media"""
1852,April 06 2016, MICHAEL CIEPLY," ""A Louisiana Politician Wants a Cut of Hollywood Blockbusters"""
1853,April 06 2016, EMILY STEEL," ""In Redstone Case, Settlement Is Said to Be Discussed"""
1854,April 06 2016, VICTOR FLEISCHER," ""Treasury Department Takes Off the Gloves on Corporate Inversions"""
1855,April 07 2016, MICHAEL J. de la MERCED and LESLIE PICKER," ""Giant Mergers Face Deterrents From the U.S."""
1856,April 07 2016, HIROKO TABUCHI," ""Teenage Driver Dies in Texas After Takata Airbag Ruptures"""
1857,April 07 2016, PAUL MOZUR," ""Samsung Profit Better Than Expected, Thanks to Its Galaxy 7 Phone"""
1858,April 07 2016, JAD MOUAWAD," ""An F.A.A. Rule Change at Newark Will Loosen United’s Grip"""
1859,April 07 2016, ANDREW ROSS SORKIN," ""Fintech’s Power Grab"""
1860,April 07 2016, WILLIAM GRIMES," ""Seymour Lazar, Flamboyant Lawyer in Entertainment Industry, Dies at 88"""
1861,April 07 2016, NEAL E. BOUDETTE," ""Car Dealer  Sues VW  to Recoup  Lost Sales"""
1862,April 07 2016, DAVID GELLES," ""The Social Algorithm"""
1863,April 07 2016, MICHAEL J. de la MERCED," ""Breaking the Chains"""
1864,April 07 2016, LANDON THOMAS Jr," ""Making an Intense Pitch for 401(k)s"""
1865,April 07 2016, PETER EAVIS," ""Still Swiping Plastic"""
1866,April 07 2016, LIZ MOYER," ""A New Wave of Fintech Investors"""
1867,April 07 2016, ALEXANDRA STEVENSON," ""Hedge Funds Are the New Venture Firms"""
1868,April 07 2016, EILENE ZIMMERMAN," ""The Evolution of FinTech"""
1869,April 07 2016, QUENTIN HARDY," ""A Ledger for All"""
1870,April 07 2016, NATHANIEL POPPER," ""Helping the Unbanked"""
1871,April 07 2016, MARY WILLIAMS WALSH," ""Puerto Rico Passes Bill Allowing It to Declare a Moratorium on Its Debt"""
1872,April 07 2016, QUENTIN HARDY," ""Turning Actuarial Into Actual Risk"""
1873,April 07 2016, LESLIE PICKER," ""The ‘Fintech’ Label Loses Some of Its Magic"""
1874,April 07 2016, ROBERT CYRAN," ""Finger-Pointing Abounds in Failed Pfizer Deal"""
1875,April 08 2016, REUTERS," ""U.S. Small Cap Funds Shine in First Quarter but May Have Harder Road Ahead"""
1876,April 08 2016, THE ASSOCIATED PRESS," ""Business Highlights"""
1877,April 08 2016, REUTERS," ""Wells Fargo Reaches $1.2 Billion U.S. Mortgage Settlement"""
1878,April 08 2016, THE ASSOCIATED PRESS," ""How the Dow Jones Industrial Average Fared on Friday"""
1879,April 08 2016, REUTERS," ""Crown Castle Buys Tower Development Corp for $461 Million"""
1880,April 08 2016, THE ASSOCIATED PRESS," ""Depomed and CoconoPhillips Rise While Gap Plunges"""
1881,April 08 2016, REUTERS," ""U.S. Judge Orders Deposition of Bernard Madoff"""
1882,April 08 2016, THE ASSOCIATED PRESS," ""Red Sox to Offer Fans Virtual Reality Experience at Fenway"""
1883,April 08 2016, REUTERS," ""France, Germany Halt Airbus Export Credit Amid UK Probe"""
1884,April 08 2016, THE ASSOCIATED PRESS," ""Starboard Attempts a Coup at Depomed"""
1885,April 08 2016, REUTERS," ""Wall St. Ends Higher but Indexes Post Weekly Losses"""
1886,April 08 2016, REUTERS," ""Shares of Fast Retailing Co. Plunge"""
1887,April 08 2016, REUTERS," ""Oil Prices Jump 6 Percent on U.S. Stockpile Draws, Keystone"""
1888,April 08 2016, REUTERS," ""Global Stocks Gain on Oil Boost; Dollar Fades vs Yen"""
1889,April 08 2016, VICTORIA FINKLE," ""Judge Rejected Regulators’ Analysis That MetLife Was Too Big to Fail"""
1890,April 08 2016, BINYAMIN APPELBAUM," ""Fed Leaders Past and Present Find Common Ground Onstage"""
1891,April 08 2016, JACKIE CALMES," ""Juggling the Hot Buttons"""
1892,April 08 2016, MICHAEL J. de la MERCED," ""Starboard  Sets Sights  on Seats at DepoMed"""
1893,April 08 2016, THE ASSOCIATED PRESS," ""W.T.O. Forecasts Mild Rise of 2.8% in 2016 Global Trade"""
1894,April 08 2016, EMILY STEEL," ""Ben Silverman, a Veteran TV Executive, Joins Propagate Content"""
1895,April 09 2016, REUTERS," ""Fourth Bellwether Trial on G.M. Defect Is Dismissed"""
1896,April 09 2016, MARY WILLIAMS WALSH," ""House Bill on Puerto Rico Debt Near Completion"""
1897,April 09 2016, MARGALIT FOX," ""Toni Grant, Psychotherapist, Dies at 73; Her Couch Was on the AM Radio Dial"""
1898,April 09 2016, REUTERS," ""Wholesale Inventories Drop, Indicating Slowdown"""
1899,April 09 2016, STACY COWLEY," ""Getting a Student Loan With Collateral From a Future Job"""
1900,April 09 2016, REUTERS," ""Marriott Moves Closer to Acquiring Starwood Hotels"""
1901,April 09 2016, REUTERS," ""Sears Secures $500 Million as It Seeks Transformation"""
1902,April 09 2016, KRISTINA SHEVORY," ""Taxed Into the Red  """
1903,April 09 2016, REUTERS," ""Data Out of Britain Adds to Worries of Broader Slump"""
1904,April 08 2016, REUTERS," ""U.S. Small Cap Funds Shine in First Quarter but May Have Harder Road Ahead"""
1905,April 08 2016, THE ASSOCIATED PRESS," ""Business Highlights"""
1906,April 08 2016, REUTERS," ""Wells Fargo Reaches $1.2 Billion U.S. Mortgage Settlement"""
1907,April 08 2016, THE ASSOCIATED PRESS," ""How the Dow Jones Industrial Average Fared on Friday"""
1908,April 08 2016, REUTERS," ""Crown Castle Buys Tower Development Corp for $461 Million"""
1909,April 08 2016, THE ASSOCIATED PRESS," ""Depomed and CoconoPhillips Rise While Gap Plunges"""
1910,April 09 2016, REED ABELSON," ""Piecemeal Health Care Mergers Fly Under Radars"""
1911,April 08 2016, REUTERS," ""U.S. Judge Orders Deposition of Bernard Madoff"""
1912,April 09 2016, BEN SISARIO," ""Bruce Springsteen Cancels North Carolina Concert Over Bias Law"""
1913,April 08 2016, THE ASSOCIATED PRESS," ""Red Sox to Offer Fans Virtual Reality Experience at Fenway"""
1914,April 09 2016, MARK SCOTT," ""Vivendi and Mediaset Join Forces to Consolidate Europe’s Media Industry"""
1915,April 10 2016, MICHAEL BESCHLOSS," ""For Truman, the Buck Stopped at a Failed Business"""
1916,April 10 2016, KATIE THOMAS and GRETCHEN MORGENSON," ""What Went Wrong for ‘Female Viagra’"""
1917,April 10 2016, CONRAD DE AENLLE," ""Looking for Solid Footing"""
1918,April 10 2016, TIM GRAY," ""Taking Shelter in Old-School Dividend Payers"""
1919,April 10 2016, PAUL B. BROWN," ""Behind a Powerful Portfolio, a Successful Career"""
1920,April 10 2016, JOHN F. WASIK," ""Simple Solutions That Can Miss the Bull’s-Eye"""
1921,April 10 2016, CONRAD DE AENLLE," ""Warning Investors to Beware of the ‘Brexit’"""
1922,April 10 2016, CARLA FRIED," ""Junk Bonds Are Steadier Than You Might Think"""
1923,April 10 2016, JOHN SCHWARTZ," ""All the Better to Teach You With, My Dear"""
1924,April 10 2016, PAUL J. LIM," ""Looking for Signs of Life in Emerging Markets"""
1925,April 10 2016, NORM ALSTER," ""Where Nerves of Steel Make All the Difference"""
1926,April 10 2016, JONATHAN SOBLE," ""The Caterer With Clout"""
1927,April 09 2016, REUTERS," ""Fourth Bellwether Trial on G.M. Defect Is Dismissed"""
1928,April 09 2016, MARY WILLIAMS WALSH," ""House Bill on Puerto Rico Debt Near Completion"""
1929,April 09 2016, MARGALIT FOX," ""Toni Grant, Psychotherapist, Dies at 73; Her Couch Was on the AM Radio Dial"""
1930,April 09 2016, REUTERS," ""Wholesale Inventories Drop, Indicating Slowdown"""
1931,April 09 2016, STACY COWLEY," ""Getting a Student Loan With Collateral From a Future Job"""
1932,April 09 2016, REUTERS," ""Marriott Moves Closer to Acquiring Starwood Hotels"""
1933,April 09 2016, REUTERS," ""Sears Secures $500 Million as It Seeks Transformation"""
1934,April 09 2016, KRISTINA SHEVORY," ""Taxed Into the Red  """
1935,April 11 2016, REBECCA ROTHBAUM," ""An Agency Enlists Comedians  to Get the Creative Juices Flowing"""
1936,April 11 2016, JIM RUTENBERG," ""Data Breaches Change  the Rules"""
1937,April 11 2016, BEN SISARIO," ""With a Deal, Live Nation Adds Governors Ball to Its Festival Lineup"""
